time,heart rate,temperature
1654298896931,86,23.33
1654298898179,86,23.29
1654298899414,87,23.35
1654298900658,100,23.29
1654298901895,120,23.33
1654298903184,110,23.35
1654298904416,107,23.39
1654298905659,101,23.33
1654298906893,84,23.39
1654298908136,85,23.35
1654298909372,120,23.29
1654298910623,152,23.27
1654298911857,145,23.33
1654298913104,123,23.33
1654298914340,114,23.41
1654298915584,99,23.41
1654298916821,84,23.39
1654298918063,86,23.35
1654298919297,81,23.27
1654298920542,74,23.33
1654298921776,82,23.29
1654298923024,89,23.27
1654298924253,93,23.35
1654298925500,112,23.39
1654298926737,112,23.33
1654298927986,85,23.33
1654298929220,86,23.39
1654298930461,80,23.33
1654298931698,73,23.35
1654298932946,72,23.35
1654298934181,82,23.29
1654298935423,83,23.33
1654298936659,89,23.35
1654298937907,89,23.41
1654298939168,79,23.29
1654298940418,81,23.29
1654298941649,81,23.29
1654298942899,81,23.27
1654298944132,80,23.29
1654298945379,89,23.39
1654298946610,84,23.33
1654298947855,83,23.41
1654298949088,83,23.35
1654298950335,85,23.35
1654298951574,83,23.27
1654298952820,83,23.29
1654298954051,81,23.35
1654298955332,78,23.35
1654298956565,75,23.29
1654298957814,74,23.35
1654298959046,74,23.41
1654298960301,66,23.39
1654298961537,67,23.39
1654298962782,68,23.35
1654298964018,69,23.41
1654298965267,70,23.27
1654298966498,75,23.29
1654298967743,76,23.33
1654298968978,78,23.41
1654298970226,78,23.39
1654298971458,80,23.39
1654298972702,81,23.39
1654298973936,81,23.39
1654298975182,82,23.33
1654298976419,83,23.29
1654298977663,81,23.33
1654298978899,80,23.33
1654298980149,78,23.29
1654298981385,78,23.27
1654298982634,79,23.29
1654298983867,78,23.41
1654298985110,80,23.35
1654298986344,83,23.27
1654298987601,82,23.33
1654298988839,81,23.35
1654298990084,81,23.35
1654298991313,78,23.41
1654298992559,77,23.33
1654298993796,77,23.33
1654298995044,78,23.33
1654298996276,80,23.29
1654298997524,85,23.39
1654298998754,86,23.39
1654299000002,86,23.35
1654299001248,84,23.39
1654299002490,83,23.39
1654299003726,88,23.41
1654299004971,99,23.39
1654299006201,101,23.39
1654299007449,100,23.33
1654299008683,101,23.35
1654299009932,94,23.35
1654299011166,73,23.41
1654299012413,69,23.39
1654299013652,72,23.47
1654299014899,74,23.45
1654299016132,78,23.79
1654299017378,96,24.63
1654299018608,95,23.79
1654299019852,95,23.39
1654299021086,97,23.35
1654299022339,99,23.41
1654299023570,101,23.39
1654299024817,103,23.39
1654299026052,103,23.29
1654299027298,94,23.29
1654299028530,94,23.29
1654299029779,93,23.29
1654299031014,91,23.35
1654299032260,89,23.35
1654299033494,96,23.33
1654299034738,94,23.45
1654299035970,92,23.35
1654299037215,89,23.33
1654299038447,89,23.33
1654299039693,87,23.27
1654299040930,95,23.27
1654299042176,96,23.33
1654299043411,98,23.23
1654299044660,98,23.33
1654299045891,93,23.23
1654299047138,83,23.39
1654299048370,80,23.39
1654299049617,79,23.33
1654299050850,76,23.23
1654299052095,84,23.27
1654299053326,84,23.23
1654299054570,85,23.21
1654299055807,85,23.27
1654299057056,86,23.33
1654299058291,76,23.33
1654299059537,78,23.35
1654299060771,79,23.33
1654299062022,80,23.33
1654299063256,80,23.27
1654299064498,78,23.27
1654299065766,77,23.21
1654299067011,75,23.29
1654299068245,74,23.33
1654299069526,68,23.35
1654299070763,71,23.33
1654299072007,73,23.35
1654299073245,73,23.35
1654299074493,72,23.45
1654299075724,79,23.35
1654299076968,79,23.35
1654299078205,77,23.29
1654299079449,83,23.33
1654299080685,77,23.39
1654299081935,81,23.29
1654299083171,82,23.33
1654299084417,84,23.27
1654299085654,84,23.39
1654299086899,93,23.39
1654299088138,90,23.29
1654299089385,90,23.33
1654299090623,87,23.29
1654299091872,86,23.29
1654299093105,82,23.33
1654299094348,81,23.39
1654299095582,81,23.35
1654299096826,77,23.29
1654299098058,78,23.35
1654299099305,78,30.59
1654299100540,78,51.85
1654299101785,78,53.39
1654299103018,78,49.25
1654299104263,80,46.37
1654299105496,82,44.29
1654299106739,81,42.59
1654299107974,80,41.15
1654299109219,80,39.99
1654299110450,77,39.13
1654299111710,78,38.27
1654299112952,81,37.59
1654299114196,85,27.15
1654299115432,87,22.65
1654299116679,92,22.65
1654299117913,91,23.03
1654299119155,89,23.15
1654299120394,87,23.09
1654299121643,86,22.37
1654299122886,84,22.47
1654299124129,85,22.57
1654299125363,85,22.53
1654299126609,87,22.81
1654299127840,90,22.93
1654299129090,90,22.71
1654299130324,90,22.51
1654299131570,89,22.43
1654299132803,88,22.63
1654299134050,89,22.57
1654299135280,89,22.69
1654299136525,89,22.81
1654299137762,90,22.37
1654299139008,90,22.37
1654299140247,87,22.43
1654298819649,0,22.77
1654298820894,0,22.71
1654298822125,0,22.71
1654298823370,0,22.81
1654298824605,0,22.71
1654298825874,0,22.83
1654298827111,0,22.77
1654298828363,0,22.75
1654298829598,0,22.75
1654298830842,0,22.83
1654298832078,0,22.77
1654298833374,0,22.81
1654298834607,0,22.77
1654298835852,0,22.81
1654298837089,0,22.83
1654298838361,0,22.81
1654298839595,0,22.83
1654298840844,0,22.77
1654298842076,0,22.81
1654298843319,0,22.77
1654298844553,0,22.77
1654298845806,0,22.77
1654298847080,0,22.81
1654298848349,0,22.75
1654298849584,0,22.75
1654298850918,0,23.09
1654298852151,0,22.81
1654298853402,0,22.81
1654298854637,0,22.77
1654298855883,0,22.75
1654298857115,0,22.71
1654298858359,0,22.71
1654298859631,0,22.71
1654298860875,0,22.71
1654298862107,0,22.81
1654298863360,0,22.77
1654298864593,0,22.77
1654298865840,0,22.75
1654298867077,0,22.81
1654298868323,0,22.77
1654298869558,0,22.77
1654298870804,0,22.77
1654298872037,0,22.75
1654298873333,0,22.77
1654298874567,0,22.81
1654298875813,0,22.75
1654298877047,0,22.63
1654298878292,0,22.71
1654298879526,0,22.71
1654298880773,0,22.77
1654298882045,0,22.65
1654298883288,0,22.83
1654298884519,0,22.71
1654298885768,0,22.69
1654298887000,0,22.71
1654298893287,0,22.81
1654298894496,0,22.81
1654298895687,0,22.81
1654298896866,0,22.81
1654298898062,0,22.75
1654298899246,0,22.77
1654298900446,0,22.83
1654298901626,0,22.77
1654298902818,0,22.75
1654298904041,0,22.81
1654298905388,0,22.77
1654298906720,0,22.77
1654298908065,0,22.77
1654298909395,0,22.81
1654298910737,0,22.77
1654298912070,0,22.81
1654298913415,0,22.75
1654298914746,0,22.81
1654298916091,0,22.75
1654298917445,0,22.81
1654298918788,0,22.77
1654298920123,0,22.81
1654298921468,0,29.75
1654298922796,0,38.29
1654298924140,0,37.25
1654298925482,0,39.75
1654298926828,0,30.67
1654298928156,0,28.99
1654298929501,0,26.87
1654298930835,0,32.69
1654298932181,0,33.93
1654298933513,0,28.01
1654298934855,0,30.71
1654298936189,0,30.51
1654298937534,0,30.25
1654298938864,0,29.37
1654298940211,0,32.75
1654298941544,0,41.71
1654298942888,0,35.37
1654298944216,0,36.95
1654298945559,0,37.29
1654298946889,0,36.53
1654298948230,0,38.55
1654298949560,0,35.39
1654298950904,0,34.43
1654298952238,0,34.33
1654298953581,0,34.01
1654298954911,0,33.21
1654298956257,44,30.97
1654298957589,44,32.69
1654298958934,44,30.99
1654298960268,37,29.19
1654298961611,40,43.07
1654298962942,60,33.69
1654298964284,60,31.97
1654298965612,61,31.89
1654298967001,79,31.95
1654298968335,69,31.49
1654298969728,71,30.91
1654298971059,120,24.11
1654298972403,123,23.81
1654298973610,109,25.99
1654298974802,121,27.67
1654298975993,106,35.07
1654298977190,106,45.39
1654298978371,73,44.91
1654298979567,73,44.23
1654298980749,73,42.93
1654298981941,73,38.09
1654298983126,50,44.23
1654298984318,50,44.33
1654298985498,45,41.01
1654298986696,46,39.13
1654298987882,54,37.71
1654298989075,127,35.39
1654298990254,122,33.29
1654298991572,112,36.39
1654298992755,111,33.79
1654298993948,112,32.85
1654298995129,112,32.03
1654298996323,125,31.83
1654298997503,127,31.49
1654298998700,125,32.11
1654298999904,127,32.67
1654299001100,125,32.83
1654299002279,127,34.01
1654299003474,129,34.01
1654299004656,131,33.71
1654299005854,130,33.03
1654299007038,131,33.63
1654299008233,131,34.93
1654299009417,130,36.47
1654299010613,132,34.97
1654299011793,130,34.33
1654299012989,131,27.25
1654299014173,131,31.49
1654299015368,130,32.35
